Control ID,Control Name,Family,Baseline,Mapped Tool(s),Implementation Notes,Evidence Artifact,Status
AC-2,Account Management,Access Control,Moderate,"Microsoft Entra ID, Active Directory, CyberArk","Accounts provisioned in AD and synced to Entra ID via Entra Connect. Role-based access assigned via AD security groups. Entra ID Lifecycle Workflows automate onboarding/offboarding. Privileged accounts managed via CyberArk and Entra PIM with JIT access.","Entra ID audit logs, access review reports, offboarding tickets, AD group membership reports, CyberArk privileged account inventory",Implemented
AC-3,Access Enforcement,Access Control,Moderate,"AWS IAM, Microsoft Entra ID Conditional Access","Access to resources enforced through AWS IAM policies (least privilege) and Entra ID Conditional Access policies. Role assignments reviewed periodically via Entra ID Access Reviews.","AWS IAM policy documentation, Conditional Access policy export, access review completion reports",Implemented
AC-6,Least Privilege,Access Control,Moderate,"AWS IAM, Microsoft Entra ID PIM","AWS IAM roles scoped to minimum required permissions. Entra ID PIM enforces JIT elevation for administrative roles — no standing admin access. Role assignments time-bound and require approval.","AWS IAM role and policy documentation, Entra PIM role assignment reports, JIT activation logs",Implemented
AC-17,Remote Access,Access Control,Moderate,"Microsoft Entra ID Conditional Access, MFA","Remote access requires MFA via Conditional Access policy. Legacy authentication protocols blocked. Conditional Access enforces compliant device requirement for remote connections.","Conditional Access policy export, sign-in logs showing MFA enforcement, device compliance reports",Implemented
IA-2,Identification and Authentication (Org Users),Identification & Authentication,Moderate,"Microsoft Entra ID, Entra ID PIM","All org users authenticated via Entra ID with MFA enforced through Conditional Access. FIDO2 security keys supported for privileged users. Legacy auth blocked. PIM requires MFA at role activation.","Conditional Access policy export, MFA registration report, sign-in logs, PIM settings screenshot",Implemented
IA-5,Authenticator Management,Identification & Authentication,Moderate,"Microsoft Entra ID, CyberArk","Password policies enforced via Entra ID (length, complexity, expiration). Privileged credentials vaulted in CyberArk with automatic rotation. Self-service password reset (SSPR) enabled with identity verification.","Entra ID password policy configuration, CyberArk credential rotation logs, SSPR configuration screenshot",Implemented
IA-8,Identification and Authentication (Non-Org Users),Identification & Authentication,Moderate,"Microsoft Entra ID B2B, Guest Access Policies","External users authenticated via Entra ID B2B collaboration. Guest access policies restrict external user permissions. Cross-tenant access settings control inbound and outbound collaboration.","Entra ID B2B configuration, guest access policy export, cross-tenant access settings screenshot",Implemented
AU-2,Event Logging,Audit & Accountability,Moderate,"Microsoft Sentinel, AWS CloudTrail","Entra ID sign-in and audit logs forwarded to Sentinel via Diagnostic Settings. AD security event logs ingested via Azure Monitor Agent. AWS API activity logged in CloudTrail and forwarded to Sentinel. CyberArk session logs forwarded to Sentinel.","Entra ID Diagnostic Settings config, Sentinel data connector status, CloudTrail trail config, sample KQL query results",Implemented
AU-9,Protection of Audit Information,Audit & Accountability,Moderate,"Microsoft Sentinel Log Analytics, AWS S3 with MFA Delete","Sentinel Log Analytics Workspace restricted via RBAC — only authorized roles can access or modify logs. AWS CloudTrail logs stored in S3 with MFA Delete enabled and bucket policy restricting access. Log file validation enabled in CloudTrail.","Log Analytics Workspace RBAC assignments, S3 bucket policy, MFA Delete configuration, CloudTrail log file validation settings",Implemented
PS-4,Personnel Termination,Personnel Security,Moderate,"Microsoft Entra ID, Active Directory","Upon termination, accounts disabled in AD and Entra ID within 24 hours per offboarding SOP. Entra ID Lifecycle Workflows automate account disable and access revocation triggered by HR system. CyberArk privileged access revoked immediately.","Offboarding tickets with timestamps, Entra ID audit logs showing account disable, Lifecycle Workflow execution logs",Implemented
PS-5,Personnel Transfer,Personnel Security,Moderate,"Microsoft Entra ID, Active Directory","Upon role transfer, access is reviewed and adjusted to reflect new job function. Previous role group memberships removed. Entra ID Access Reviews triggered for transferred users. Privileged access re-evaluated via PIM.","Access review completion reports, AD group membership change logs, Entra ID audit logs, PIM role assignment history",Implemented
